Date,SampleSize,Cohort
2017-05-31,2,Popart-Zambia-Central
2017-06-01,2,Popart-Zambia-Central
2017-06-05,1,Popart-Zambia-Central
2017-06-06,2,Popart-Zambia-Central
2017-06-07,1,Popart-Zambia-Central
2018-03-16,5,Popart-Zambia-Central
2018-06-05,1,Popart-Zambia-Central
2018-06-06,2,Popart-Zambia-Central
2018-06-19,1,Popart-Zambia-Central
2018-06-11,1,Popart-Zambia-Central
2018-06-20,1,Popart-Zambia-Central
2016-09-06,3,Popart-Zambia-Central
2016-09-07,1,Popart-Zambia-Central
2016-09-08,3,Popart-Zambia-Central
2016-09-21,1,Popart-Zambia-Central
2016-09-09,2,Popart-Zambia-Central
2016-09-12,3,Popart-Zambia-Central
2016-09-14,6,Popart-Zambia-Central
2018-05-31,3,Popart-Zambia-Central
2018-06-01,1,Popart-Zambia-Central
2018-01-11,1,Popart-Zambia-Central
2018-01-12,4,Popart-Zambia-Central
2018-01-15,6,Popart-Zambia-Central
2017-12-14,2,Popart-Zambia-Central
2017-12-19,4,Popart-Zambia-Central
2018-01-03,3,Popart-Zambia-Central
2018-01-04,2,Popart-Zambia-Central
2018-01-05,2,Popart-Zambia-Central
2018-01-08,2,Popart-Zambia-Central
2018-01-09,3,Popart-Zambia-Central
2018-01-30,3,Popart-Zambia-Central
2018-01-31,1,Popart-Zambia-Central
2018-02-02,4,Popart-Zambia-Central
2018-01-16,5,Popart-Zambia-Central
2018-01-17,1,Popart-Zambia-Central
2018-01-18,2,Popart-Zambia-Central
2018-01-22,4,Popart-Zambia-Central
2018-01-23,2,Popart-Zambia-Central
2018-01-24,1,Popart-Zambia-Central
2018-01-25,3,Popart-Zambia-Central
2018-01-26,1,Popart-Zambia-Central
2018-01-29,2,Popart-Zambia-Central
2018-03-14,1,Popart-Zambia-Central
2018-03-20,9,Popart-Zambia-Central
2018-03-21,1,Popart-Zambia-Central
2018-03-22,2,Popart-Zambia-Central
2018-03-26,4,Popart-Zambia-Central
2018-04-05,1,Popart-Zambia-Central
2018-02-14,1,Popart-Zambia-Central
2018-02-15,1,Popart-Zambia-Central
2018-02-19,1,Popart-Zambia-Central
2018-02-20,3,Popart-Zambia-Central
2018-02-28,1,Popart-Zambia-Central
2018-03-01,1,Popart-Zambia-Central
2018-03-02,2,Popart-Zambia-Central
2018-02-26,6,Popart-Zambia-Central
2018-03-06,2,Popart-Zambia-Central
2018-03-07,1,Popart-Zambia-Central
2018-02-27,1,Popart-Zambia-Central
2018-03-13,2,Popart-Zambia-Central
2018-04-30,5,Popart-Zambia-Central
2018-04-11,4,Popart-Zambia-Central
2018-05-03,1,Popart-Zambia-Central
2018-04-18,4,Popart-Zambia-Central
2018-05-07,7,Popart-Zambia-Central
2018-05-04,1,Popart-Zambia-Central
2018-04-17,3,Popart-Zambia-Central
2018-05-08,5,Popart-Zambia-Central
2018-05-09,1,Popart-Zambia-Central
2018-05-15,1,Popart-Zambia-Central
2018-05-28,1,Popart-Zambia-Central
2018-06-14,1,Popart-Zambia-Central
2018-03-27,2,Popart-Zambia-Central
2018-03-28,8,Popart-Zambia-Central
2018-04-19,1,Popart-Zambia-Central
2018-05-29,1,Popart-Zambia-Central
2018-06-21,4,Popart-Zambia-Central
2018-04-04,1,Popart-Zambia-Central
2018-04-06,1,Popart-Zambia-Central
2018-04-24,2,Popart-Zambia-Central
2018-04-09,1,Popart-Zambia-Central
2018-04-27,1,Popart-Zambia-Central
2017-09-15,1,Popart-Zambia-Central
2017-09-18,3,Popart-Zambia-Central
2017-09-19,2,Popart-Zambia-Central
2017-09-20,3,Popart-Zambia-Central
2017-09-21,1,Popart-Zambia-Central
2017-10-02,2,Popart-Zambia-Central
2017-10-03,2,Popart-Zambia-Central
2017-10-04,5,Popart-Zambia-Central
2017-10-05,1,Popart-Zambia-Central
2017-10-09,4,Popart-Zambia-Central
2017-10-10,2,Popart-Zambia-Central
2017-11-24,4,Popart-Zambia-Central
2017-11-27,2,Popart-Zambia-Central
2017-11-29,1,Popart-Zambia-Central
2017-12-11,2,Popart-Zambia-Central
2017-12-12,2,Popart-Zambia-Central
2017-11-30,1,Popart-Zambia-Central
2017-12-08,2,Popart-Zambia-Central
2017-12-06,2,Popart-Zambia-Central
2017-12-13,2,Popart-Zambia-Central
2017-11-17,1,Popart-Zambia-Central
2017-11-20,7,Popart-Zambia-Central
2017-11-21,3,Popart-Zambia-Central
2017-11-22,1,Popart-Zambia-Central
2017-11-23,1,Popart-Zambia-Central
2017-11-07,2,Popart-Zambia-Central
2017-11-08,1,Popart-Zambia-Central
2017-11-09,1,Popart-Zambia-Central
2017-11-13,1,Popart-Zambia-Central
2017-11-15,3,Popart-Zambia-Central
2017-11-14,1,Popart-Zambia-Central
2017-11-16,2,Popart-Zambia-Central
2017-10-11,2,Popart-Zambia-Central
2017-10-13,3,Popart-Zambia-Central
2017-10-16,1,Popart-Zambia-Central
2017-10-17,2,Popart-Zambia-Central
2017-10-20,1,Popart-Zambia-Central
2017-11-02,3,Popart-Zambia-Central
2017-11-01,4,Popart-Zambia-Central
2017-11-03,1,Popart-Zambia-Central
2017-11-06,1,Popart-Zambia-Central
2018-02-05,2,Popart-Zambia-Central
2018-02-09,1,Popart-Zambia-Central
2018-02-12,3,Popart-Zambia-Central
2018-02-13,3,Popart-Zambia-Central
2016-10-04,7,Popart-Zambia-Central
2016-10-05,3,Popart-Zambia-Central
2016-10-10,5,Popart-Zambia-Central
2016-10-14,2,Popart-Zambia-Central
2016-10-20,7,Popart-Zambia-Central
2016-11-01,5,Popart-Zambia-Central
2016-11-03,4,Popart-Zambia-Central
